"kommunenummer","kommunenavn","fylkesnummer","fylkesnavn","nordnorge","tilfeller","tilfeller1000","over1","dode","karantene","areal","folketall","over69","andelover69","sentralitetsindeks","ledighet","innvandrere","skatteinntekter","STN","senterpartiet","passasjererutland"
"4643","Årdal","46","Vestland",0,1,0.192566917003659,0,0,1,976.59,5193,967,0.186212208742538,595,1.4,9.9,326.9,0,35.62024,0
"4644","Luster","46","Vestland",0,4,0.773096250483185,0,0,1,2706.35,5174,851,0.164476227290298,562,1,8.56,295.2,0,51.3096,0
"4645","Askvoll","46","Vestland",0,0,0,0,0,1,326.23,3011,625,0.207572235137828,505,1.55,8.04,161.6,0,28.3365,0
"4646","Fjaler","46","Vestland",0,0,0,0,0,1,416.59,2802,498,0.177730192719486,561,0.7,13.42,139.5,0,30.82192,0
"4647","Sunnfjord","46","Vestland",0,18,0.817067635043123,0,0,1,2208.13,22030,2744,0.124557421697685,678,1.3,10.67,1437.1,0,26.29218,0
"4648","Bremanger","46","Vestland",0,0,0,0,0,0,833.1,3629,749,0.206392945715073,471,1.8,16.09,271.5,0,25.63591,0
"4649","Stad","46","Vestland",0,0,0,0,0,1,752.78,9457,1541,0.162948080786719,597,1.5,10.74,451.5,0,27.63889,0
"4650","Gloppen","46","Vestland",0,5,0.854116843184148,0,0,1,1030.57,5854,1016,0.173556542535019,620,0.9,11.26,406.1,0,48.69159,0
"4651","Stryn","46","Vestland",0,13,1.82328190743338,1,0,1,1382.06,7130,1079,0.151332398316971,603,1.55,17.87,373.1,0,33.96226,0
"5001","Trondheim","50","Trøndelag – Trööndelage",0,353,1.72058314608385,1,2,0,528.6,205163,22634,0.110322036624538,891,2,16.29,15114.7,0,7.08771,910017
"5006","Steinkjer","50","Trøndelag – Trööndelage",0,20,0.821119185449768,0,0,0,2122.06,24357,4140,0.169971671388102,719,2.75,9.51,1621.8,0,44.8737,0
"5007","Namsos","50","Trøndelag – Trööndelage",0,5,0.328299409061064,0,0,0,2132.63,15230,2422,0.159028233749179,693,1.8,9.41,705.5,0,25.32189,0
"5014","Frøya","50","Trøndelag – Trööndelage",0,0,0,0,0,1,241.31,5151,660,0.128130460104834,533,3.05,27.51,353.7,0,18.94556,0
"5020","Osen","50","Trøndelag – Trööndelage",0,0,0,0,0,0,387.1,948,227,0.239451476793249,462,2.4,5.7,39.5,0,22.08589,0
"5021","Oppdal","50","Trøndelag – Trööndelage",0,8,1.1426939008713,1,0,1,2274.12,7001,1204,0.171975432081131,650,1.65,10.58,333.7,0,40.2981,0
"5022","Rennebu","50","Trøndelag – Trööndelage",0,5,2.01126307320998,1,0,1,947.96,2486,514,0.206757843925986,595,2.2,8.29,101,0,31.47887,0
"5025","Røros","50","Trøndelag – Trööndelage",0,0,0,0,0,0,1956.46,5581,1069,0.191542734277011,650,1.55,9.57,291.8,0,21.11745,72
"5026","Holtålen","50","Trøndelag – Trööndelage",0,1,0.504795557799091,0,0,0,1209.49,1981,414,0.208985360928824,520,0.9,5.96,84,0,27.14617,0
"5027","Midtre Gauldal","50","Trøndelag – Trööndelage",0,7,1.12215453671048,1,0,0,1860.51,6238,995,0.159506252003847,652,1.7,13.95,296.3,0,37.05372,0
"5028","Melhus","50","Trøndelag – Trööndelage",0,3,0.179286439968924,0,0,0,694.41,16733,2251,0.134524592123349,770,2.25,9.33,831.2,0,30.33007,0
"5029","Skaun","50","Trøndelag – Trööndelage",0,5,0.600600600600601,0,0,0,224.21,8325,926,0.111231231231231,736,1.8,6.99,376,0,31.16816,0
"5031","Malvik","50","Trøndelag – Trööndelage",0,11,0.777495052304213,0,0,0,168.44,14148,1514,0.107011591744416,811,2.2,11.11,748.3,0,17.47392,0
"5032","Selbu","50","Trøndelag – Trööndelage",0,6,1.47710487444609,1,0,0,1234.85,4062,738,0.181683899556869,657,1.55,6.72,227.1,0,25.51362,0
"5033","Tydal","50","Trøndelag – Trööndelage",0,0,0,0,0,0,1328.59,769,165,0.214564369310793,493,NA,5.33,50.5,0,69.16996,0
"5034","Meråker","50","Trøndelag – Trööndelage",0,1,0.412881915772089,0,0,0,1273.94,2422,460,0.189925681255161,618,2.9,11.6,104.5,0,32.82559,0
"5035","Stjørdal","50","Trøndelag – Trööndelage",0,9,0.372747980948437,0,0,0,938.27,24145,3419,0.141602816318078,801,1.65,9.74,1211.5,0,38.46343,0
"5036","Frosta","50","Trøndelag – Trööndelage",0,29,11.0392082223068,1,0,0,76.32,2627,476,0.181195279786829,670,2.55,11.15,105.8,0,27.87795,0
"5037","Levanger","50","Trøndelag – Trööndelage",0,21,1.04146002777227,1,0,0,645.81,20164,2864,0.142035310454275,755,2.3,9.63,1125.7,0,30.56263,0
"5038","Verdal","50","Trøndelag – Trööndelage",0,14,0.936580144500937,0,0,0,1547.77,14948,2319,0.155137811078405,749,2.75,7.59,698.8,0,51.10538,0
"5041","Snåase - Snåsa","50","Trøndelag – Trööndelage",0,0,0,0,0,0,2342.66,2063,411,0.199224430441105,541,1.9,7.03,79.1,0,48.64865,0
"5042","Lierne","50","Trøndelag – Trööndelage",0,0,0,0,0,0,2961.71,1355,274,0.202214022140221,400,NA,9.67,62.8,0,35.39095,0
"5043","Raarvihke - Røyrvik","50","Trøndelag – Trööndelage",0,0,0,0,0,0,1584.75,461,101,0.219088937093275,383,2.6,9.76,20,0,NA,0
"5044","Namsskogan","50","Trøndelag – Trööndelage",0,0,0,0,0,0,1417.16,843,192,0.227758007117438,428,1.85,9.37,44.6,0,21.30518,0
"5045","Grong","50","Trøndelag – Trööndelage",0,3,1.27172530733362,1,0,0,1136.17,2359,439,0.186095803306486,579,2.1,12.21,121.7,0,50.55597,0
